key,de-DE,en-US,it-IT,es-ES
custom.data.type.goobi.edit.no_goobi,Keine Goobi-Verknüpfung gesetzt,No Goobi-Link set,,
custom.data.type.goobi.edit.no_valid_goobi,Keine valide Goobi-Verknüpfung,No valid Goobi-Link,,
custom.data.type.goobi.modal.form.text.count,Anzahl Vorschläge,Count suggestions,,
custom.data.type.goobi.modal.form.text.label,Text,Text,,
custom.data.type.goobi.modal.form.text.searchbar,Suchbegriff eingeben,Enter search query,,
custom.data.type.goobi.modal.form.text.searchbar.placeholder,Suchbegriff eingeben ...,Enter search query...,,
custom.data.type.goobi.modal.form.text.type,Suche auf Typ einschränken,Narrow down search to type,,
custom.data.type.goobi.name,Goobi-Verknüpfung,Goobi-node,,
custom.data.type.goobi.url.tooltip,zu **%(name)s** bei Goobi Vocabularies springen,jump to **%(name)s** at Goobi Vocabularies,,
custom.data.type.goobi.config.parameter.schema.schema.value.label,Schema,Scheme,,
custom.data.type.goobi.config.parameter.mask.infopop.info.label,Informationen über den Datensatz,Informations about the record,,
custom.data.type.goobi.config.parameter.mask.infopop.labels.preflabel,Bezeichnung,Preferred label,,
custom.data.type.goobi.config.parameter.mask.infopop.labels.varlabel,Variante,Variant,,
custom.data.type.goobi.config.parameter.mask.infopop.labels.uri,Identifier,Identifier,,
custom.data.type.goobi.config.parameter.mask.infopop.labels.broader,Umfassendere Begriffe,Broader Terms,,
custom.data.type.goobi.config.parameter.mask.editor_display.value.label,Editor-Ansicht,Editor-Display,,
custom.data.type.goobi.config.option.mask.editor_display.value.default,Standard,Default,,
custom.data.type.goobi.config.option.mask.editor_display.value.condensed,1 Zeile,One-liner,,
custom.data.type.goobi.edit.button|icon,edit,edit,,
custom.data.type.goobi.remove.button|icon,trash,trash,,
custom.data.type.goobi.config.option.mask.editor_style.value.inline,Eingebettet,Embedded,,
custom.data.type.goobi.setting.mask.editor_style,Editor-Stil,Editor-Style,,
custom.data.type.goobi.config.option.mask.editor_style.value.popover,Popover,Popover,,
custom.data.type.goobi.modal.form.url.placeholder,goobi-Verknüpfung,goobi-Link,,
custom.data.type.goobi.edit.modal.title|text,goobi-Verknüpfung,goobi-Link,,
custom.data.type.goobi.modal.form.text.count_short,Vorschläge,Suggestions,,
custom.data.type.goobi.modal.form.text.result.label,Gewählter Eintrag,Choosen entry,,
custom.data.type.goobi.modal.form.text.result.placeholder,noch leer,empty,,
custom.data.type.goobi.modal.form.text.uri.label,Zugehörige URI,Associated URI,,
custom.data.type.goobi.modal.form.text.uri.label.placeholder,noch leer,empty,,
custom.data.type.goobi.config.parameter.mask.show_infopopup.value.label,Infopopup,Infopopup,,
custom.data.type.goobi.config.parameter.mask.show_infopopup.loading.label,Lade Informationen,loading information,,
custom.data.type.goobi.config.parameter.mask.infopopup.popup.info,Informationen über den Eintrag,Informations about the entry,,
custom.data.type.goobi.config.parameter.mask.infopopup.popup.name,Name,Name,,
custom.data.type.goobi.modal.form.text.searchfield,Suche in,Search in,,
custom.data.type.goobi.modal.form.text.searchfield.TitleDocMain,Titel,Title,,
custom.data.type.goobi.config.parameter.schema.safeAsConceptName.value.label,Metadatenfeld für 'Name',Metadatafield for 'Name',,
custom.data.type.goobi.config.parameter.schema.safeAsConceptURI.value.label,Metadatenfeld für 'URI',Metadatafield for 'URI',,
custom.data.type.goobi.config.parameter.mask.searchfields.value.label,Durchsuchbare Metadatenfelder (kommasepariert),Searchable metadatafields (commaseparated),,
custom.data.type.goobi.missing.config,Fehlende Konfiguration,Missing configuration,,
custom.data.type.goobi.config.parameter.mask.goobi_endpoint_token.value.label,Goobi-Endpoint-Token,Goobi-Endpoint-Token,,
custom.data.type.goobi.config.parameter.mask.projects.value.label,Durchsuchbare goobi-Projekte (kommasepariert),Searchable goobi-projects (commaseparated),,
custom.data.type.goobi.config.parameter.mask.goobi_api_url.value.label,Goobi-API-Url,goobi-API-url,,
custom.data.type.goobi.modal.form.text.searchfield.CatalogIDDigital,Datensatz ID,Record ID,,
custom.data.type.goobi.modal.form.text.searchfield.location_shelfLocator,Referenznummer,Reference number,,
custom.data.type.goobi.config.parameter.mask.notdefined.label,Unbezeichnet,Unlabeled,,
server.config.name.system.update_goobi,Goobi-Update-Einstellungen,Goobi-Update-Configuration,,
server.config.parameter.system.update_goobi.restrict_time.label,Beschränke Updates auf bestimmte Stunden?,Restrict updates to specific hours?,,
server.config.parameter.system.update_goobi.restrict_time.checkbox,Ja - beschränken,Yes - restrict,,
server.config.parameter.system.update_goobi.from_time.label,Stunde von (Zahl 0-24),Hour from (Int 0-24),,
server.config.parameter.system.update_goobi.to_time.label,Stunde bis (Zahl 0-24),Hour to (Int 0-24),,
server.config.parameter.system.update_goobi.default_language.label,Standard-Datensprache als Fallback für Update (ISO 639-1),Default-data-language (as fallback) for update (ISO 639-1),,
